,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
mean,30.029020000000003,70.05611999999999,20.142139999999998,30.218360000000004,26.4121,10.01482,1.5003540000000002,8.4254,497.4238
std,6.719989273771201,15.861990245413722,24.552090302465082,27.346464321926515,8.894466796272837,6.749628313292518,0.545972064014268,3.6105826178056084,152.7388077521885
skewness,0.7519611348630153,0.280443766176198,2.8900426466218376,2.5340543015631374,0.6385910239440106,1.166422202178266,0.8788039578922531,0.4696106258540725,0.20416980710822955
