,mean,std,skewness
Temperature,40.34779999999999,6.4729695781766186,-0.006465940384522292
Humidity,89.473,14.081524455825086,0.07346314210886047
PM2.5,41.9208,41.34832871302056,1.9316586667158449
PM10,61.508,41.90521704990919,1.8309368206220253
NO2,40.5962,7.73078557198426,0.06619890872387503
SO2,20.023400000000002,7.992238262214159,0.08744166173717488
CO,2.49124,0.4026825826876549,0.2779937835337324
Proximity_to_Industrial_Areas,4.5924,2.1693736976371776,2.2765132784079447
Population_Density,696.01,120.09278870939754,0.01803515297300132
