,mean,std,skewness
Temperature,24.94655,3.295710560334448,-0.04790707873730719
Humidity,60.02195,11.626393817409593,0.0014444393730000317
PM2.5,9.910899999999998,9.707242203118247,1.9363096865947362
PM10,14.9896,9.93570540223491,1.8659221002652826
NO2,19.44845,4.690139400646851,-0.038851557094376425
SO2,5.035,2.0571132686364164,-0.02769462465658156
CO,0.9995899999999999,0.10117624177641707,-0.05260081720537624
Proximity_to_Industrial_Areas,11.987900000000002,2.021646257385302,1.9829714896515147
Population_Density,398.944,115.54834859919029,0.031993714828043085
