,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
mean,30.142,70.21153333333334,20.4618,30.604333333333333,26.435133333333333,9.976933333333333,1.5052933333333334,6.958666666666667,497.56533333333334
std,4.182174394578335,12.314870968963591,20.412058219591675,20.692719844320987,5.072412869193078,4.021523914582077,0.19718987623326123,1.928432408863623,115.7904158305955
skewness,0.003375488661811552,-0.0683301654908906,1.9019335605011845,1.7828968532623533,0.04973041270184876,0.1298635899613952,0.0341641326561567,1.8057156261759033,0.011047610554118553
